time,ShortWave,LongWave,AirTemp,RelHum,WindSpeed,Rain,Snow
2000-01-01 00:00:00,0,274.58,2.222222222,73,8.04672,0,0.00021
2000-01-01 01:00:00,0,273.33,2.222222222,76,8.04672,0,0.00021
2000-01-01 02:00:00,0,273.7,2.222222222,76,8.04672,0,0.00021
2000-01-01 03:00:00,0,268.66,2.777777778,73,8.04672,0,0.00021
2000-01-01 04:00:00,0,266.8,2.222222222,76,6.7056,0,0.00021
2000-01-01 05:00:00,0,263.78,1.666666667,78,5.006848,0,0.00021
2000-01-01 06:00:00,0,255.97,1.111111111,79,5.006848,0,0.00021
2000-01-01 07:00:00,7,231.27,0.555555556,82,3.3528,0,0.00021
2000-01-01 08:00:00,77,228.13,0,82,3.3528,0,0.00021
2000-01-01 09:00:00,135,233.15,1.111111111,79,0,0,0.00021
2000-01-01 10:00:00,192,251.87,2.222222222,76,0,0,0.00021
2000-01-01 11:00:00,174,281.71,2.777777778,70,3.3528,0,0.00021
2000-01-01 12:00:00,193,286.49,3.333333333,68,3.3528,0,0.00021
2000-01-01 13:00:00,182,289.04,3.333333333,68,4.291584,0,0.00021
2000-01-01 14:00:00,145,292.35,3.333333333,70,4.291584,0,0.00021
2000-01-01 15:00:00,63,306.46,3.333333333,70,5.006848,0,0.00021
2000-01-01 16:00:00,5,320.98,2.222222222,76,5.722112,0,0.00021
2000-01-01 17:00:00,0,307.78,0.555555556,82,4.291584,0,0.0002
2000-01-01 18:00:00,0,299.83,0,85,5.722112,0,0.00019
2000-01-01 19:00:00,0,297.14,0.555555556,85,4.291584,0,0.00018
2000-01-01 20:00:00,0,294.49,1.111111111,85,6.03504,0,0.00017
2000-01-01 21:00:00,0,289.72,1.111111111,89,3.57632,0,0.00016
2000-01-01 22:00:00,0,282.12,0.555555556,92,8.71728,0,0.00017
2000-01-01 23:00:00,0,277.61,0.555555556,96,5.006848,0.00001,0.00019
2000-01-02 00:00:00,0,274.58,1.111111111,92,5.006848,0.00001,0.0002
2000-01-02 01:00:00,0,273.33,1.666666667,96,8.04672,0.00032,0.0002
2000-01-02 02:00:00,0,273.7,2.777777778,93,5.722112,0.00063,0.0002
2000-01-02 03:00:00,0,268.66,2.777777778,93,5.006848,0.00094,0.0002
2000-01-02 04:00:00,0,266.8,3.333333333,93,5.006848,0.00063,0.00021
2000-01-02 05:00:00,0,263.78,3.333333333,99,4.291584,0.00031,0.00022
2000-01-02 06:00:00,0,255.97,2.777777778,100,0,0,0.00023
2000-01-02 07:00:00,10,261.31,4.444444444,100,5.006848,0.00004,0.00023
2000-01-02 08:00:00,60,260.17,4.444444444,97,5.722112,0.00008,0.00023
2000-01-02 09:00:00,85,271.59,6.111111111,93,5.722112,0.00011,0.00023
2000-01-02 10:00:00,252,278.15,7.777777778,89,5.722112,0.00008,0.00023
2000-01-02 11:00:00,257,303.62,9.444444444,86,6.03504,0.00004,0.00023
2000-01-02 12:00:00,113,347.76,11.11111111,77,9.38784,0,0.00023
2000-01-02 13:00:00,46,354.9,10,74,6.7056,0.00004,0.00023
2000-01-02 14:00:00,8,348.42,7.222222222,90,8.71728,0.00009,0.00023
2000-01-02 15:00:00,3,324.88,2.222222222,97,8.761984,0.00013,0.00023
2000-01-02 16:00:00,0,320.71,1.111111111,97,6.03504,0.00009,0.00021
2000-01-02 17:00:00,0,315.55,1.111111111,92,6.03504,0.00005,0.00019
2000-01-02 18:00:00,0,307.76,0.555555556,92,5.722112,0,0.00016
2000-01-02 19:00:00,0,302.36,0.555555556,89,5.722112,0,0.00014
2000-01-02 20:00:00,0,297.1,0.555555556,89,6.03504,0,0.00011
2000-01-02 21:00:00,0,291.37,0.555555556,85,9.38784,0,0.00009
2000-01-02 22:00:00,0,282.76,0,82,8.761984,0,0.00006
2000-01-02 23:00:00,0,276.77,0,79,8.04672,0,0.00003
2000-01-03 00:00:00,0,271.43,0,80,7.59968,0.00001,0
2000-01-03 01:00:00,0,266.15,0,81,7.15264,0,0
2000-01-03 02:00:00,0,259.45,-0.277777778,82,6.7056,0,0
2000-01-03 03:00:00,0,252.5,-0.555555556,82,8.04672,0,0
2000-01-03 04:00:00,0,246.1,-0.555555556,79,6.03504,0,0
2000-01-03 05:00:00,0,242.44,-0.555555556,85,9.38784,0,0
2000-01-03 06:00:00,0,233.04,-1.111111111,82,8.71728,0,0
2000-01-03 07:00:00,0,227.52,-1.111111111,82,9.38784,0,0
2000-01-03 08:00:00,10,223.13,-1.111111111,85,9.38784,0,0
2000-01-03 09:00:00,20,288.54,-1.666666667,82,9.38784,0,0
2000-01-03 10:00:00,22,302.05,-1.111111111,82,9.38784,0,0
2000-01-03 11:00:00,35,301.41,-1.111111111,85,8.71728,0.00001,0
2000-01-03 12:00:00,26,304.69,-1.111111111,85,9.38784,0.00001,0
