Time,AirTemp,ShortWave,LongWave,SpecHumidity.kg_kg,RelHum,WindSpeed,Rain,SurfPressure.Pa
2015-01-01 00:00:00,-9.470007,0,169.37,0.0007891,41.71722,8.967319,0,98739.3
2015-01-01 01:00:00,-9.579993,0,169.37,0.0008369,44.61312,8.127054,0,98702.98
2015-01-01 02:00:00,-9.699988,0,169.37,0.0008847,47.59206,7.312729,0,98666.02
2015-01-01 03:00:00,-9.810004,0,168.78,0.0009326,50.58804,6.534049,0,98629.7
2015-01-01 04:00:00,-10.07001,0,168.78,0.0009696,53.61916,6.182758,0,98502.88
2015-01-01 05:00:00,-10.34,0,168.78,0.0010063,56.77974,5.827667,0,98376.16
2015-01-01 06:00:00,-10.59995,0,166.48,0.0010432,60.01305,5.488625,0,98249.34
2015-01-01 07:00:00,-10.93,0,166.48,0.0010585,62.46848,5.376263,0,98175.16
2015-01-01 08:00:00,-11.25999,0,166.48,0.0010738,65.01487,5.278826,0,98100.34
2015-01-01 09:00:00,-11.59,0,170.82,0.0010891,67.65698,5.1833,0,98026.16
2015-01-01 10:00:00,-11.65,0,170.82,0.0011123,69.44603,5.245884,0,98046.4
2015-01-01 11:00:00,-11.71,0,170.82,0.0011355,71.25156,5.295621,0,98066.64
2015-01-01 12:00:00,-11.77,0,185.68,0.001159,73.09315,5.345886,0,98087.62
2015-01-01 13:00:00,-11.25995,0,185.68,0.001211,73.25108,5.756084,0,98005.66
2015-01-01 14:00:00,-10.74998,47.672,185.68,0.0012629,73.2822,6.192156,0,97924.44
2015-01-01 15:00:00,-10.23997,157.36,213.78,0.001315,73.21299,6.645119,0,97842.58
2015-01-01 16:00:00,-8.489996,239.056,213.78,0.0013612,66.06884,6.812518,0,97896.2
2015-01-01 17:00:00,-6.750006,304.782,213.79,0.0014075,59.72494,7.004013,0,97950.46
2015-01-01 18:00:00,-4.999976,206.008,267.75,0.0014538,53.99631,7.213938,0,98004.08
2015-01-01 19:00:00,-4.329993,187.465,267.76,0.0014873,52.53763,6.746925,0,98055.08
2015-01-01 20:00:00,-3.66001,155.734,267.76,0.0015213,51.12332,6.401016,0,98105.54
2015-01-01 21:00:00,-3.000006,100.48,266.01,0.0015549,49.76064,6.176447,0,98156.54
2015-01-01 22:00:00,-3.310004,33.776,266.01,0.0015964,52.31598,5.584344,0,98213.3
2015-01-01 23:00:00,-3.630011,0,266.01,0.0016374,54.99305,5.00144,0,98269.96
2015-01-02 00:00:00,-3.939948,0,262.72,0.0016787,57.74092,4.422895,0,98326.32
2015-01-02 01:00:00,-4.250006,0,262.72,0.0017758,62.54128,4.279369,0,98354.22
2015-01-02 02:00:00,-4.560004,0,262.72,0.0018727,67.53466,4.259871,0,98382.02
2015-01-02 03:00:00,-4.870001,0,251.49,0.0019696,72.73586,4.371647,0,98409.82
2015-01-02 04:00:00,-5.280005,0,251.49,0.0019736,75.2224,3.824879,0,98455.3
