year,lakeid,ice_duration,firstice,lastice,firsticeYDAY,lasticeYDAY
1918,ME,115,1917-12-11,1918-04-05,345,95
1919,ME,82,1919-01-03,1919-03-26,368,85
1920,ME,110,1919-12-09,1920-03-28,343,88
1921,ME,81,1920-12-25,1921-03-16,360,75
1922,ME,96,1921-12-25,1922-03-31,359,90
1923,ME,125,1922-12-16,1923-04-20,350,110
1924,ME,104,1924-01-01,1924-04-14,366,105
1925,ME,105,1924-12-19,1925-04-03,354,93
1926,ME,124,1925-12-16,1926-04-19,350,109
1927,ME,103,1926-12-06,1927-03-19,340,78
1928,ME,106,1927-12-17,1928-04-01,351,92
1929,ME,96,1928-12-21,1929-03-27,356,86
1930,ME,107,1929-12-03,1930-03-20,337,79
1931,ME,98,1930-12-16,1931-03-24,350,83
1932,ME,65,1932-01-30,1932-04-04,395,95
1933,ME,115,1932-12-10,1933-04-04,345,94
1934,ME,91,1933-12-25,1934-03-26,359,85
1935,ME,94,1934-12-24,1935-03-28,358,87
1936,ME,101,1935-12-20,1936-03-30,354,90
1937,ME,121,1936-12-07,1937-04-13,342,103
1938,ME,105,1937-12-07,1938-03-22,341,81
1939,ME,97,1938-12-28,1939-04-04,362,94
1940,ME,105,1940-01-02,1940-04-16,367,107
1941,ME,96,1941-01-05,1941-04-11,370,101
1942,ME,82,1942-01-03,1942-03-26,368,85
1943,ME,116,1942-12-07,1943-04-02,341,92
1944,ME,114,1943-12-16,1944-04-08,350,99
1945,ME,92,1944-12-18,1945-03-20,353,79
1946,ME,98,1945-12-13,1946-03-21,347,80
1947,ME,101,1946-12-30,1947-04-10,364,100
1948,ME,104,1947-12-21,1948-04-03,355,94
1949,ME,96,1948-12-24,1949-03-30,359,89
1950,ME,109,1949-12-23,1950-04-11,357,101
1951,ME,122,1950-12-11,1951-04-12,345,102
1952,ME,114,1951-12-16,1952-04-08,350,99
1953,ME,81,1952-12-30,1953-03-21,365,80
1954,ME,85,1953-12-30,1954-03-25,364,84
1955,ME,92,1955-01-02,1955-04-04,367,94
1956,ME,114,1955-12-12,1956-04-04,346,95
1957,ME,111,1956-12-14,1957-04-04,349,94
1958,ME,95,1957-12-30,1958-04-04,364,94
1959,ME,126,1958-12-09,1959-04-14,343,104
1960,ME,105,1959-12-29,1960-04-12,363,103
1961,ME,108,1960-12-19,1961-04-06,354,96
1962,ME,117,1961-12-16,1962-04-12,350,102
1963,ME,112,1962-12-12,1963-04-03,346,93
1964,ME,113,1963-12-20,1964-04-11,354,102
1965,ME,120,1964-12-15,1965-04-14,350,104
1966,ME,65,1966-01-11,1966-03-17,376,76
1967,ME,98,1966-12-26,1967-04-03,360,93
1968,ME,91,1967-12-27,1968-03-27,361,87
1969,ME,108,1968-12-17,1969-04-10,352,100
1970,ME,113,1969-12-16,1970-04-08,350,98
1971,ME,110,1970-12-24,1971-04-13,358,103
1972,ME,105,1972-01-05,1972-04-19,370,110
1973,ME,97,1972-12-07,1973-03-14,342,73
1974,ME,105,1973-12-21,1974-04-05,355,95
1975,ME,107,1975-01-02,1975-04-19,367,109
1976,ME,88,1975-12-27,1976-03-24,361,84
1977,ME,115,1976-12-03,1977-03-28,338,87
1978,ME,123,1977-12-07,1978-04-11,341,101
1979,ME,118,1978-12-10,1979-04-19,344,109
1980,ME,99,1979-12-29,1980-04-06,363,97
1981,ME,93,1980-12-20,1981-03-23,355,82
1982,ME,96,1981-12-28,1982-04-03,362,93
1983,ME,54,1983-01-13,1983-03-08,378,67
1984,ME,111,1983-12-19,1984-04-08,353,99
1985,ME,85,1984-12-25,1985-03-27,360,86
1986,ME,107,1985-12-14,1986-03-31,348,90
1987,ME,89,1986-12-13,1987-03-12,347,71
1988,ME,87,1988-01-02,1988-03-29,367,89
1989,ME,97,1988-12-29,1989-04-05,364,95
1990,ME,93,1989-12-12,1990-03-15,346,74
1991,ME,88,1990-12-26,1991-03-24,360,83
1992,ME,99,1991-12-18,1992-03-26,352,86
1993,ME,108,1992-12-24,1993-04-11,359,101
1994,ME,94,1993-12-27,1994-03-31,361,90
1995,ME,74,1995-01-06,1995-03-21,371,80
1996,ME,119,1995-12-10,1996-04-07,344,98
1997,ME,102,1996-12-20,1997-04-01,355,91
1998,ME,47,1998-01-11,1998-02-27,376,58
1999,ME,81,1998-12-30,1999-03-21,364,80
2000,ME,53,2000-01-14,2000-03-07,379,67
2001,ME,115,2000-12-13,2001-04-07,348,97
2002,ME,21,2002-01-02,2002-03-15,367,74
2003,ME,89,2003-01-04,2003-04-03,369,93
2004,ME,80,2004-01-07,2004-03-27,372,87
2005,ME,101,2004-12-25,2005-04-05,360,95
2006,ME,95,2005-12-19,2006-03-24,353,83
2007,ME,66,2007-01-20,2007-03-27,385,86
2008,ME,106,2007-12-26,2008-04-10,360,101
2009,ME,97,2008-12-16,2009-03-23,351,82
2010,ME,87,2009-12-29,2010-03-26,363,85
2011,ME,110,2010-12-15,2011-04-03,349,93
2012,ME,57,2012-01-14,2012-03-11,379,71
2013,ME,87,2013-01-14,2013-04-11,379,101
2014,ME,117,2013-12-16,2014-04-12,350,102
2015,ME,91,2015-01-02,2015-04-03,367,93
2016,ME,62,2016-01-11,2016-03-13,376,73
2017,ME,65,2017-01-01,2017-03-07,366,66
2018,ME,65,2017-12-27,2018-03-31,361,90
2019,ME,65,2018-12-15,2019-03-31,349,90
