datetime,depth,temp
2010-02-01,0,1.8
2010-02-01,1,2
2010-02-01,2,2
2010-02-01,3,2
2010-02-01,4,2
2010-02-01,5,2
2010-02-01,6,2
2010-02-01,7,2
2010-02-01,8,2
2010-02-01,9,2
2010-02-01,10,2
2010-02-01,11,2
2010-02-01,12,2
2010-02-01,13,2
2010-02-01,14,2
2010-02-01,15,2.1
2010-02-01,16,2.2
2010-02-01,17,2.4
2010-02-01,18,2.5
2010-02-01,19,2.7
2010-02-01,20,2.7
2010-02-01,21,2.8
2010-02-01,22,3.1
2010-02-01,23,3.3
2010-02-01,24,3.7
2010-03-29,0,4.5
2010-03-29,1,4.4
2010-03-29,2,4.4
2010-03-29,3,4.4
2010-03-29,4,4.4
2010-03-29,5,4.4
2010-03-29,6,4.4
2010-03-29,7,4.4
2010-03-29,8,4.4
2010-03-29,9,4.4
2010-03-29,10,4.4
2010-03-29,11,4.4
2010-03-29,12,4.4
2010-03-29,13,4.4
2010-03-29,14,4.4
2010-03-29,15,4.4
2010-03-29,16,4.4
2010-03-29,17,4.4
2010-03-29,18,4.4
2010-03-29,19,4.4
2010-03-29,20,4.4
2010-03-29,21,4.4
2010-03-29,22,4.4
2010-03-29,23,4.4
2010-03-29,24,4.2
2010-03-29,24.3,4.2
2010-04-13,0,6.9
2010-04-13,1,6.9
2010-04-13,2,6.9
2010-04-13,3,6.8
2010-04-13,4,6.8
2010-04-13,5,6.8
2010-04-13,6,6.8
2010-04-13,7,6.8
2010-04-13,8,6.8
2010-04-13,9,6.8
2010-04-13,10,6.7
2010-04-13,11,6.7
2010-04-13,12,6.6
2010-04-13,13,6.6
2010-04-13,14,6.4
2010-04-13,15,6.2
2010-04-13,16,6.2
2010-04-13,17,6.1
2010-04-13,18,6.1
2010-04-13,19,6.1
2010-04-13,20,6.1
2010-04-13,21,6
2010-04-13,22,6
2010-04-13,23,6
2010-04-13,24,6
2010-04-13,24.5,6.1
2010-04-26,0,9.8
2010-04-26,1,9.8
2010-04-26,2,9.8
2010-04-26,3,9.7
2010-04-26,4,9.7
2010-04-26,5,9.7
2010-04-26,6,9.7
2010-04-26,7,9.6
2010-04-26,8,9.3
2010-04-26,9,9.1
2010-04-26,10,9.1
2010-04-26,11,9.1
2010-04-26,12,9.1
2010-04-26,13,9.1
2010-04-26,14,9.1
2010-04-26,15,9
2010-04-26,16,9
2010-04-26,17,9
2010-04-26,18,9
2010-04-26,19,9
2010-04-26,20,8.9
2010-04-26,21,8.8
2010-04-26,22,8.8
2010-04-26,23,8.8
2010-04-26,24,8.9
2010-05-10,0,12.1
2010-05-10,1,12.1
2010-05-10,2,12.1
2010-05-10,3,12
2010-05-10,4,12
2010-05-10,5,12
2010-05-10,6,12
2010-05-10,7,12
2010-05-10,8,11.9
2010-05-10,9,11.8
2010-05-10,10,11.8
2010-05-10,11,11.8
2010-05-10,12,11.7
2010-05-10,13,11.7
2010-05-10,14,11.7
2010-05-10,15,11.7
2010-05-10,16,11.6
2010-05-10,17,11.6
2010-05-10,18,11.6
2010-05-10,19,11.6
2010-05-10,20,11.6
2010-05-10,21,11.5
2010-05-10,22,11.4
2010-05-10,23,11.4
2010-05-10,24,11.4
2010-05-10,24.5,11.4
2010-05-24,0,20.3
2010-05-24,1,17.7
2010-05-24,2,17.5
2010-05-24,3,15.9
2010-05-24,4,15.3
2010-05-24,5,14.8
2010-05-24,6,14.4
2010-05-24,7,14.2
2010-05-24,8,13.9
2010-05-24,9,13.4
2010-05-24,10,13
2010-05-24,11,12.6
2010-05-24,12,12.5
2010-05-24,13,12.1
2010-05-24,14,11.9
2010-05-24,15,11.8
2010-05-24,16,11.7
2010-05-24,17,11.7
2010-05-24,18,11.7
2010-05-24,19,11.7
2010-05-24,20,11.6
2010-05-24,21,11.6
2010-05-24,22,11.6
2010-05-24,23,11.6
2010-05-24,24,11.6
2010-05-24,24.1,11.6
2010-06-07,0,20.6
2010-06-07,1,20.6
2010-06-07,2,20.5
2010-06-07,3,20.3
2010-06-07,4,20.1
2010-06-07,5,20
2010-06-07,6,19.3
2010-06-07,7,14.8
2010-06-07,8,14.5
2010-06-07,9,13.7
2010-06-07,10,13.3
2010-06-07,11,12.8
2010-06-07,12,12.8
2010-06-07,13,12.5
2010-06-07,14,12.4
2010-06-07,15,12.2
2010-06-07,16,12.1
2010-06-07,17,11.9
2010-06-07,18,11.8
2010-06-07,19,11.6
2010-06-07,20,11.6
2010-06-07,21,11.6
2010-06-07,22,11.6
2010-06-07,23,11.6
2010-06-07,24,11.6
2010-06-07,24.5,11.6
2010-06-21,0,22.3
2010-06-21,1,22.3
2010-06-21,2,22.1
2010-06-21,3,22.1
2010-06-21,4,22
2010-06-21,5,21.7
2010-06-21,6,21
2010-06-21,6.5,20.7
2010-06-21,7,20.5
2010-06-21,7.5,20
2010-06-21,8,18.6
2010-06-21,8.5,18
2010-06-21,9,17.8
2010-06-21,9.5,15.8
2010-06-21,10,14.7
2010-06-21,10.5,14.2
2010-06-21,11,13.6
2010-06-21,12,13.2
2010-06-21,13,13
2010-06-21,14,12.7
2010-06-21,15,12.5
2010-06-21,16,12.4
2010-06-21,17,12.3
2010-06-21,18,12.2
2010-06-21,19,12
2010-06-21,20,12
2010-06-21,21,11.9
2010-06-21,22,11.9
2010-06-21,23,11.9
2010-06-21,24,11.9
